Timestamp,EAR,MOR,Tilt Angle,PERCLOS,FOM,Fatigue,Hand Covering Mouth
2024-12-05 15:09:19,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:09:20,0.18,0.35,90.0,100.0,0,No Fatigue,No
2024-12-05 15:09:20,0.23,0.34,91.74,50.0,0,No Fatigue,No
2024-12-05 15:09:20,0.26,0.31,90.87,33.33,0,No Fatigue,No
2024-12-05 15:09:20,0.23,0.33,91.74,50.0,0,No Fatigue,No
2024-12-05 15:09:21,0.22,0.3,91.76,60.0,0,No Fatigue,No
2024-12-05 15:09:21,0.17,0.33,90.87,66.67,0,No Fatigue,No
2024-12-05 15:09:21,0.19,0.33,91.76,71.43,0,No Fatigue,No
2024-12-05 15:09:21,0.19,0.36,90.87,75.0,0,No Fatigue,No
2024-12-05 15:09:21,0.23,0.35,86.48,77.78,0,No Fatigue,No
2024-12-05 15:09:21,0.19,0.4,91.68,80.0,0,No Fatigue,No
2024-12-05 15:09:22,0.17,0.38,90.84,81.82,0,No Fatigue,No
2024-12-05 15:09:22,0.18,0.41,90.0,83.33,0,No Fatigue,No
2024-12-05 15:09:22,0.19,0.4,89.18,84.62,0,No Fatigue,No
2024-12-05 15:09:22,0.19,0.4,90.0,85.71,0,No Fatigue,No
2024-12-05 15:09:22,0.21,0.44,89.19,86.67,0,No Fatigue,No
2024-12-05 15:09:22,0.22,0.45,90.0,87.5,1,No Fatigue,No
2024-12-05 15:09:22,0.23,0.48,90.0,88.24,1,No Fatigue,No
2024-12-05 15:09:23,0.22,0.48,90.0,88.89,1,No Fatigue,No
2024-12-05 15:09:23,0.19,0.5,88.45,89.47,1,No Fatigue,No
2024-12-05 15:09:23,0.14,0.46,88.41,90.0,2,No Fatigue,No
2024-12-05 15:09:23,0.2,0.36,90.81,90.48,2,No Fatigue,No
2024-12-05 15:09:23,0.22,0.31,91.68,90.91,2,No Fatigue,No
2024-12-05 15:09:23,0.27,0.27,93.52,86.96,2,No Fatigue,No
2024-12-05 15:09:24,0.24,0.27,82.23,83.33,2,No Fatigue,No
2024-12-05 15:09:24,0.26,0.25,90.9,80.0,2,No Fatigue,No
2024-12-05 15:09:24,0.15,0.27,90.9,80.77,2,No Fatigue,No
2024-12-05 15:09:24,0.13,0.27,91.85,81.48,2,No Fatigue,No
2024-12-05 15:09:24,0.18,0.25,93.69,82.14,2,No Fatigue,No
2024-12-05 15:09:24,0.26,0.31,86.42,79.31,2,No Fatigue,No
2024-12-05 15:09:24,0.26,0.32,92.68,76.67,2,No Fatigue,No
2024-12-05 15:09:25,0.28,0.29,84.81,73.33,2,No Fatigue,No
2024-12-05 15:09:25,0.19,0.32,91.85,76.67,2,No Fatigue,No
2024-12-05 15:09:25,0.21,0.31,90.0,80.0,2,No Fatigue,No
2024-12-05 15:09:25,0.22,0.34,90.0,80.0,2,No Fatigue,No
2024-12-05 15:09:26,0.22,0.31,90.0,80.0,2,No Fatigue,No
2024-12-05 15:09:26,0.25,0.31,88.12,76.67,2,No Fatigue,No
2024-12-05 15:09:26,0.23,0.31,87.23,73.33,2,No Fatigue,No
