Timestamp,EAR,MOR,Tilt Angle,PERCLOS,FOM,Fatigue
2024-12-05 13:53:53,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 13:53:54,0.29,0.38,91.71,40.0,0,No Fatigue,No
2024-12-05 13:53:54,0.3,0.39,91.71,36.67,0,No Fatigue,No
2024-12-05 13:53:54,0.24,0.42,90.86,33.33,0,No Fatigue,No
2024-12-05 13:53:54,0.26,0.41,90.86,30.0,0,No Fatigue,No
2024-12-05 13:53:54,0.28,0.39,91.71,26.67,0,No Fatigue,No
2024-12-05 13:53:55,0.27,0.41,90.86,26.67,0,No Fatigue,No
2024-12-05 13:53:55,0.14,0.44,90.83,30.0,0,No Fatigue,No
2024-12-05 13:53:55,0.29,0.46,90.0,30.0,1,No Fatigue,No
2024-12-05 13:53:55,0.32,0.43,90.81,26.67,1,No Fatigue,No
2024-12-05 13:53:55,0.31,0.44,89.17,23.33,1,No Fatigue,No
2024-12-05 13:53:55,0.32,0.4,90.0,20.0,1,No Fatigue,No
2024-12-05 13:53:56,0.17,0.38,90.0,20.0,1,No Fatigue,No
2024-12-05 13:53:56,0.31,0.39,90.84,16.67,1,No Fatigue,No
2024-12-05 13:53:58,0.28,0.39,90.83,6.67,1,No Fatigue,No
2024-12-05 13:53:58,0.3,0.41,90.0,6.67,1,No Fatigue,No
2024-12-05 13:53:58,0.31,0.42,90.0,6.67,1,No Fatigue,No
2024-12-05 13:53:58,0.17,0.34,89.14,10.0,1,No Fatigue,No
2024-12-05 13:53:58,0.26,0.35,88.41,10.0,1,No Fatigue,No
2024-12-05 13:53:58,0.28,0.44,87.65,10.0,1,No Fatigue,No
2024-12-05 13:53:59,0.14,0.38,89.16,13.33,1,No Fatigue,No
2024-12-05 13:53:59,0.22,0.33,90.86,16.67,1,No Fatigue,No
2024-12-05 13:53:59,0.27,0.27,91.71,16.67,1,No Fatigue,No
2024-12-05 13:53:59,0.26,0.3,90.87,16.67,1,No Fatigue,No
2024-12-05 13:53:59,0.26,0.28,92.56,16.67,1,No Fatigue,No
2024-12-05 13:53:59,0.27,0.29,94.14,16.67,1,No Fatigue,No
2024-12-05 13:54:00,0.19,0.27,92.45,16.67,1,No Fatigue,No
2024-12-05 13:54:00,0.28,0.27,92.32,16.67,1,No Fatigue,No
2024-12-05 13:54:00,0.33,0.3,90.78,16.67,1,No Fatigue,No
2024-12-05 13:54:00,0.27,0.5,90.76,16.67,2,No Fatigue,No
2024-12-05 13:54:00,0.31,0.51,93.97,16.67,2,No Fatigue,No
2024-12-05 13:54:00,0.3,0.42,92.56,13.33,2,No Fatigue,No
2024-12-05 13:54:01,0.32,0.37,91.68,13.33,2,No Fatigue,No
2024-12-05 13:54:01,0.29,0.32,90.0,13.33,2,No Fatigue,No
2024-12-05 13:54:01,0.28,0.32,89.16,13.33,2,Hand Covering Mouth,Yes
2024-12-05 13:54:01,0.28,0.32,90.83,13.33,2,Hand Covering Mouth,Yes
2024-12-05 13:54:01,0.28,0.32,90.83,13.33,2,Hand Covering Mouth,Yes
2024-12-05 13:54:01,0.26,0.32,90.0,13.33,2,Hand Covering Mouth,Yes
2024-12-05 13:54:02,0.27,0.32,90.0,13.33,2,Hand Covering Mouth,Yes
2024-12-05 13:54:02,0.17,0.32,90.86,16.67,2,Hand Covering Mouth,Yes
2024-12-05 13:54:02,0.27,0.32,90.0,16.67,2,Hand Covering Mouth,Yes
2024-12-05 13:54:02,0.31,0.32,90.86,16.67,2,Hand Covering Mouth,Yes
2024-12-05 13:54:02,0.31,0.32,90.0,16.67,2,Hand Covering Mouth,Yes
