Timestamp,EAR,MOR,Tilt Angle,PERCLOS,FOM,Fatigue,Hand Covering Mouth
2024-12-06 14:51:08,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-06 14:51:09,0.33,0.4,84.67,36.67,0,No Fatigue,No
2024-12-06 14:51:10,0.33,0.3,80.88,30.0,0,No Fatigue,No
2024-12-06 14:51:11,0.23,0.39,75.96,40.0,1,No Fatigue,No
2024-12-06 14:51:12,0.23,0.47,72.95,60.0,3,No Fatigue,No
2024-12-06 14:51:13,0.23,0.57,85.5,60.0,5,Yawning Detected,No
2024-12-06 14:51:14,0.19,0.33,82.87,70.0,7,No Fatigue,No
2024-12-06 14:51:15,0.1,0.23,92.49,76.67,7,No Fatigue,Yes
2024-12-06 14:51:16,0.21,0.7,94.62,86.67,9,Fatigue Detected While Yawning,No
2024-12-06 14:51:18,0.15,0.32,90.0,80.0,10,No Fatigue,No
2024-12-06 14:51:19,0.29,0.29,89.2,53.33,10,No Fatigue,No
2024-12-06 14:51:20,0.29,0.23,89.14,30.0,10,No Fatigue,No
2024-12-06 14:51:21,0.33,0.23,90.0,26.67,10,No Fatigue,No
2024-12-06 14:51:22,0.21,0.2,90.81,33.33,10,No Fatigue,No
2024-12-06 14:51:23,0.22,0.21,90.8,43.33,10,No Fatigue,No
2024-12-06 14:51:24,0.36,0.27,96.25,40.0,10,No Fatigue,No
2024-12-06 14:51:25,0.38,0.28,94.03,23.33,10,No Fatigue,No
2024-12-06 14:51:26,0.35,0.29,100.52,0.0,10,No Fatigue,No
2024-12-06 14:51:27,0.44,0.27,94.9,0.0,10,No Fatigue,No
2024-12-06 14:51:42,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-06 14:51:43,0.17,0.28,83.88,10.0,10,No Fatigue,No
2024-12-06 14:51:44,0.27,0.22,78.53,23.33,10,No Fatigue,No
2024-12-06 14:51:45,0.25,0.23,87.51,33.33,10,No Fatigue,No
2024-12-06 14:51:46,0.24,0.28,69.35,40.0,10,No Fatigue,No
2024-12-06 14:51:47,0.23,0.34,81.19,66.67,10,No Fatigue,No
2024-12-06 14:51:48,0.27,0.4,88.47,70.0,10,No Fatigue,No
2024-12-06 14:51:49,0.19,0.33,82.69,83.33,10,No Fatigue,No
2024-12-06 14:51:50,0.24,0.63,88.84,73.33,10,Yawning Detected,No
2024-12-06 14:51:51,0.14,0.69,86.46,76.67,10,Fatigue Detected While Yawning,No
2024-12-06 14:51:53,0.17,0.31,90.0,76.67,10,No Fatigue,No
2024-12-06 14:51:54,0.35,0.31,94.51,63.33,10,No Fatigue,No
2024-12-06 14:51:55,0.34,0.31,86.08,33.33,10,No Fatigue,No
2024-12-06 14:51:56,0.35,0.31,85.97,6.67,10,No Fatigue,No
2024-12-06 14:51:57,0.33,0.26,86.08,6.67,10,No Fatigue,No
2024-12-06 14:51:58,0.31,0.28,87.61,0.0,10,No Fatigue,No
2024-12-06 14:51:59,0.33,0.28,85.24,0.0,10,No Fatigue,No
2024-12-06 14:52:00,0.35,0.31,86.82,0.0,10,No Fatigue,No
2024-12-06 14:52:01,0.31,0.25,88.36,0.0,10,No Fatigue,No
2024-12-06 14:52:02,0.37,0.33,86.82,0.0,10,No Fatigue,No
2024-12-06 14:52:06,0.31,0.31,86.86,0.0,10,No Fatigue,No
2024-12-06 14:52:07,0.37,0.33,88.43,0.0,10,No Fatigue,No
2024-12-06 14:52:36,0.21,0.35,85.43,3.33,8,No Fatigue,No
2024-12-06 14:52:37,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-06 14:52:40,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-06 14:52:41,0.23,0.31,87.71,26.67,8,No Fatigue,No
2024-12-06 14:52:56,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-06 14:52:57,0.16,0.18,89.22,13.33,1,No Fatigue,No
2024-12-06 14:52:58,0.34,0.22,85.3,10.0,0,No Fatigue,No
2024-12-06 14:52:59,0.33,0.21,87.58,6.67,0,No Fatigue,No
2024-12-06 14:53:00,0.18,0.44,98.8,6.67,0,No Fatigue,No
2024-12-06 14:53:01,0.28,0.27,84.81,30.0,0,No Fatigue,No
2024-12-06 14:53:02,0.33,0.32,90.0,33.33,0,No Fatigue,No
2024-12-06 14:53:03,0.25,0.38,86.19,13.33,0,No Fatigue,No
2024-12-06 14:53:04,0.19,0.22,88.32,16.67,0,No Fatigue,No
2024-12-06 14:53:05,0.19,0.35,104.42,23.33,1,No Fatigue,No
2024-12-06 14:53:06,0.26,0.3,90.0,23.33,1,No Fatigue,No
2024-12-06 14:53:07,0.25,0.24,93.72,23.33,1,No Fatigue,No
2024-12-06 14:53:09,0.21,0.24,90.74,43.33,3,No Fatigue,Yes
2024-12-06 14:53:10,0.34,0.25,79.76,33.33,3,No Fatigue,No
2024-12-06 14:53:11,0.32,0.33,81.47,20.0,3,No Fatigue,No
2024-12-06 14:53:12,0.27,0.42,76.68,10.0,3,No Fatigue,No
2024-12-06 14:53:13,0.32,0.3,101.0,10.0,3,No Fatigue,No
2024-12-06 14:53:14,0.26,0.64,97.13,10.0,4,Yawning Detected,No
2024-12-06 14:53:15,0.22,0.33,98.53,10.0,5,No Fatigue,Yes
