Timestamp,EAR,MOR,Tilt Angle,PERCLOS,FOM,Fatigue,Hand Covering Mouth
2024-12-05 15:21:01,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:21:01,0.31,0.56,79.65,90.0,1,Yawning Detected,No
2024-12-05 15:21:02,0.34,0.53,79.03,86.67,1,Yawning Detected,No
2024-12-05 15:21:02,0.25,0.53,81.63,83.33,1,Yawning Detected,Yes
2024-12-05 15:21:03,0.29,0.53,80.96,80.0,1,Yawning Detected,Yes
2024-12-05 15:21:03,0.31,0.53,86.27,76.67,1,Yawning Detected,Yes
2024-12-05 15:21:04,0.25,0.53,83.09,73.33,1,Yawning Detected,Yes
2024-12-05 15:21:04,0.27,0.53,85.41,70.0,1,Yawning Detected,Yes
2024-12-05 15:21:04,0.31,0.38,78.8,66.67,1,No Fatigue,No
2024-12-05 15:21:05,0.35,0.44,79.7,63.33,1,No Fatigue,No
2024-12-05 15:21:05,0.35,0.45,82.72,60.0,1,No Fatigue,No
2024-12-05 15:21:06,0.36,0.3,75.96,56.67,1,No Fatigue,No
2024-12-05 15:21:06,0.35,0.44,78.58,53.33,1,No Fatigue,No
2024-12-05 15:21:06,0.33,0.45,77.54,50.0,2,No Fatigue,No
2024-12-05 15:21:07,0.34,0.39,78.11,46.67,2,No Fatigue,No
2024-12-05 15:21:07,0.34,0.39,84.86,43.33,2,No Fatigue,Yes
2024-12-05 15:21:08,0.33,0.39,83.07,40.0,3,No Fatigue,Yes
2024-12-05 15:21:08,0.37,0.57,74.36,36.67,3,Yawning Detected,No
2024-12-05 15:21:08,0.38,0.43,75.68,30.0,3,No Fatigue,No
2024-12-05 15:21:09,0.37,0.35,71.57,20.0,3,No Fatigue,No
2024-12-05 15:21:09,0.32,0.14,93.53,10.0,3,No Fatigue,No
2024-12-05 15:21:10,0.33,0.45,73.35,0.0,4,No Fatigue,No
2024-12-05 15:21:10,0.28,0.42,83.84,0.0,4,No Fatigue,No
2024-12-05 15:21:11,0.28,0.35,88.85,6.67,5,No Fatigue,No
2024-12-05 15:21:11,0.38,0.5,79.49,3.33,6,No Fatigue,No
2024-12-05 15:21:12,0.33,0.41,78.35,0.0,6,No Fatigue,No
2024-12-05 15:21:12,0.32,0.3,92.23,0.0,6,No Fatigue,No
2024-12-05 15:21:13,0.33,0.63,79.01,0.0,7,Yawning Detected,No
2024-12-05 15:21:13,0.29,0.42,81.21,0.0,7,No Fatigue,No
