Timestamp,EAR,MOR,Tilt Angle,PERCLOS,FOM,Fatigue,Hand Covering Mouth
2024-12-05 15:18:40,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:18:41,0.26,0.3,90.0,0.0,0,No Fatigue,No
2024-12-05 15:18:41,0.26,0.29,89.24,0.0,0,No Fatigue,No
2024-12-05 15:18:41,0.27,0.3,91.49,0.0,0,No Fatigue,No
2024-12-05 15:18:41,0.28,0.33,92.94,0.0,0,No Fatigue,No
2024-12-05 15:18:41,0.21,0.35,89.27,20.0,0,No Fatigue,No
2024-12-05 15:18:42,0.25,0.38,90.0,16.67,0,No Fatigue,No
2024-12-05 15:18:42,0.25,0.4,90.0,14.29,0,No Fatigue,No
2024-12-05 15:18:42,0.25,0.43,89.32,12.5,0,No Fatigue,No
2024-12-05 15:18:42,0.26,0.44,90.0,11.11,0,No Fatigue,No
2024-12-05 15:18:42,0.24,0.47,90.0,10.0,1,No Fatigue,No
2024-12-05 15:18:42,0.26,0.47,91.3,9.09,1,No Fatigue,No
2024-12-05 15:18:43,0.23,0.52,92.6,16.67,1,Yawning Detected,No
2024-12-05 15:18:43,0.23,0.44,91.93,23.08,1,No Fatigue,No
2024-12-05 15:18:43,0.2,0.48,93.86,28.57,2,No Fatigue,No
2024-12-05 15:18:43,0.2,0.53,94.5,33.33,2,Yawning Detected,No
2024-12-05 15:18:43,0.18,0.53,97.85,37.5,2,Yawning Detected,No
2024-12-05 15:18:43,0.16,0.54,97.21,41.18,2,Yawning Detected,No
2024-12-05 15:18:43,0.17,0.52,97.13,44.44,3,Yawning Detected,No
2024-12-05 15:18:44,0.19,0.54,96.97,47.37,3,Yawning Detected,No
2024-12-05 15:18:44,0.18,0.51,95.84,50.0,3,Yawning Detected,No
2024-12-05 15:18:44,0.19,0.54,95.91,52.38,3,Yawning Detected,No
2024-12-05 15:18:44,0.17,0.54,96.41,54.55,4,Yawning Detected,No
2024-12-05 15:18:44,0.19,0.51,95.25,56.52,4,Yawning Detected,No
2024-12-05 15:18:44,0.18,0.51,96.41,58.33,4,Yawning Detected,No
2024-12-05 15:18:44,0.2,0.48,96.56,60.0,4,No Fatigue,No
2024-12-05 15:18:45,0.19,0.49,94.65,61.54,5,No Fatigue,No
2024-12-05 15:18:45,0.18,0.42,90.0,62.96,5,No Fatigue,No
2024-12-05 15:18:45,0.2,0.45,91.33,64.29,5,No Fatigue,No
2024-12-05 15:18:45,0.21,0.47,94.04,65.52,5,No Fatigue,No
2024-12-05 15:18:45,0.16,0.45,89.34,66.67,6,No Fatigue,No
2024-12-05 15:18:45,0.17,0.5,95.57,70.0,6,No Fatigue,No
2024-12-05 15:18:46,0.19,0.53,94.04,73.33,6,Fatigue Detected While Yawning,No
2024-12-05 15:18:46,0.17,0.55,92.63,76.67,6,Fatigue Detected While Yawning,No
2024-12-05 15:18:46,0.14,0.38,94.57,80.0,6,No Fatigue,No
2024-12-05 15:18:46,0.17,0.27,95.71,80.0,6,No Fatigue,No
2024-12-05 15:18:46,0.18,0.4,90.77,83.33,6,No Fatigue,No
2024-12-05 15:18:46,0.24,0.37,91.53,83.33,6,No Fatigue,No
2024-12-05 15:18:46,0.21,0.35,93.01,86.67,6,No Fatigue,No
2024-12-05 15:18:47,0.2,0.34,90.0,90.0,6,No Fatigue,No
2024-12-05 15:18:47,0.26,0.32,83.99,90.0,6,No Fatigue,No
2024-12-05 15:18:47,0.25,0.46,90.68,90.0,7,No Fatigue,No
2024-12-05 15:18:47,0.25,0.48,90.0,86.67,7,No Fatigue,No
2024-12-05 15:18:47,0.21,0.42,90.67,86.67,7,No Fatigue,No
2024-12-05 15:18:47,0.3,0.45,90.78,83.33,7,No Fatigue,No
2024-12-05 15:18:47,0.21,0.37,86.47,83.33,7,No Fatigue,No
2024-12-05 15:18:48,0.22,0.43,90.0,83.33,7,No Fatigue,No
2024-12-05 15:18:48,0.25,0.45,91.61,80.0,8,No Fatigue,No
2024-12-05 15:18:48,0.18,0.47,90.68,80.0,8,Fatigue Detected,No
2024-12-05 15:18:48,0.22,0.41,91.35,80.0,8,No Fatigue,No
2024-12-05 15:18:48,0.23,0.4,91.36,80.0,8,No Fatigue,No
2024-12-05 15:18:48,0.23,0.35,92.07,76.67,8,No Fatigue,No
2024-12-05 15:18:48,0.23,0.39,92.35,76.67,8,No Fatigue,No
2024-12-05 15:18:49,0.22,0.33,90.77,76.67,8,No Fatigue,No
2024-12-05 15:18:49,0.15,0.4,90.81,76.67,8,No Fatigue,No
2024-12-05 15:18:49,0.22,0.41,90.82,76.67,8,No Fatigue,No
2024-12-05 15:18:49,0.27,0.3,90.88,73.33,8,No Fatigue,No
2024-12-05 15:18:49,0.09,0.26,86.53,73.33,8,No Fatigue,No
2024-12-05 15:18:49,0.26,0.32,90.0,70.0,8,No Fatigue,No
2024-12-05 15:18:50,0.22,0.29,84.96,70.0,8,No Fatigue,No
2024-12-05 15:18:50,0.24,0.32,86.82,66.67,8,No Fatigue,No
2024-12-05 15:18:50,0.24,0.42,87.77,63.33,8,No Fatigue,No
2024-12-05 15:18:50,0.21,0.42,88.55,63.33,8,No Fatigue,No
2024-12-05 15:18:50,0.23,0.47,90.69,60.0,9,No Fatigue,No
2024-12-05 15:18:50,0.22,0.48,91.38,60.0,9,No Fatigue,No
2024-12-05 15:18:51,0.21,0.49,92.0,60.0,9,No Fatigue,No
2024-12-05 15:18:51,0.23,0.31,90.0,56.67,9,No Fatigue,No
2024-12-05 15:18:51,0.26,0.51,93.09,56.67,10,Yawning Detected,No
2024-12-05 15:18:51,0.27,0.51,92.94,53.33,10,Yawning Detected,No
2024-12-05 15:18:51,0.28,0.54,92.94,50.0,10,Yawning Detected,No
2024-12-05 15:18:51,0.26,0.13,98.58,50.0,10,No Fatigue,No
2024-12-05 15:18:51,0.21,0.17,99.46,53.33,10,No Fatigue,No
2024-12-05 15:18:52,0.12,0.37,90.67,56.67,10,No Fatigue,No
2024-12-05 15:18:52,0.2,0.37,90.77,56.67,10,No Fatigue,No
2024-12-05 15:18:52,0.22,0.4,92.42,60.0,10,No Fatigue,No
2024-12-05 15:18:52,0.21,0.26,90.0,60.0,10,No Fatigue,No
2024-12-05 15:18:52,0.22,0.27,86.68,60.0,10,No Fatigue,No
2024-12-05 15:18:52,0.13,0.25,87.55,63.33,10,No Fatigue,No
2024-12-05 15:18:52,0.17,0.27,85.1,63.33,10,No Fatigue,No
2024-12-05 15:18:53,0.28,0.27,90.0,60.0,10,No Fatigue,No
2024-12-05 15:18:53,0.27,0.34,89.19,56.67,10,No Fatigue,No
2024-12-05 15:18:53,0.24,0.37,87.65,56.67,10,No Fatigue,No
2024-12-05 15:18:53,0.22,0.34,87.61,56.67,10,No Fatigue,No
