Timestamp,EAR,MOR,Tilt Angle,PERCLOS,FOM,Fatigue,Yawning,Yawning Confidence,Audio Fatigue
2024-12-10 21:37:33,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:37:34,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:37:36,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:37:37,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:37:38,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:37:39,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:37:40,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:37:41,0.29,0.37,88.17,26.67,0,No Fatigue,neutral,0.11,Not Yawning
2024-12-10 21:37:42,0.29,0.37,88.17,36.67,0,No Fatigue,neutral,0.13,Not Yawning
2024-12-10 21:37:44,0.25,0.47,70.71,36.67,0,No Fatigue,neutral,0.02,Not Yawning
2024-12-10 21:37:45,0.2,0.39,81.12,36.67,0,No Fatigue,neutral,0.06,Not Yawning
2024-12-10 21:37:49,0.3,0.38,106.36,6.67,0,No Fatigue,neutral,0.24,Not Yawning
2024-12-10 21:37:51,0.29,0.34,92.16,0.0,0,No Fatigue,neutral,0.01,Not Yawning
2024-12-10 21:37:52,0.38,0.38,92.42,0.0,0,No Fatigue,neutral,0.15,Not Yawning
2024-12-10 21:37:58,0.31,0.33,94.81,3.33,0,No Fatigue,neutral,0.0,Mouth Covered
2024-12-10 21:37:59,0.31,0.19,87.65,10.0,0,No Fatigue,neutral,0.0,Mouth Covered
2024-12-10 21:38:01,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:38:02,0.19,0.32,85.97,20.0,0,No Fatigue,neutral,0.0,Mouth Covered
2024-12-10 21:38:03,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:38:04,0.26,0.2,90.0,43.33,0,No Fatigue,neutral,0.0,Mouth Covered
2024-12-10 21:38:05,0.28,0.23,89.14,36.67,0,No Fatigue,neutral,0.0,Mouth Covered
2024-12-10 21:38:06,0.36,0.25,104.04,36.67,0,No Fatigue,neutral,0.13,Not Yawning
2024-12-10 21:38:11,0.35,0.6,93.47,23.33,1,No Fatigue,neutral,0.11,Yawning
2024-12-10 21:38:12,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:38:13,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:38:16,0.27,0.41,102.53,63.33,1,No Fatigue,neutral,0.14,Not Yawning
2024-12-10 21:38:20,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:38:23,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:38:24,0.34,0.33,97.43,53.33,1,No Fatigue,neutral,0.0,Mouth Covered
2024-12-10 21:38:25,0.32,0.34,95.04,56.67,1,No Fatigue,neutral,0.0,Mouth Covered
2024-12-10 21:38:27,0.34,0.44,93.58,63.33,1,No Fatigue,neutral,0.13,Not Yawning
2024-12-10 21:38:30,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
2024-12-10 21:38:31,N/A,0.0,N/A,N/A,N/A,No Face Detected,neutral,N/A,N/A
