Timestamp,EAR,MOR,Tilt Angle,PERCLOS,FOM,Fatigue,Hand Covering Mouth
2024-12-05 15:02:20,0.27,0.36,88.26,36.67,2,No Fatigue,No
2024-12-05 15:02:20,0.33,0.3,86.99,36.67,2,No Fatigue,No
2024-12-05 15:02:22,0.31,0.41,94.09,33.33,2,No Fatigue,No
2024-12-05 15:02:22,0.28,0.43,92.79,33.33,2,No Fatigue,No
2024-12-05 15:02:23,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:02:23,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:02:24,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:02:25,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:02:25,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:02:26,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:02:27,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:02:27,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:02:28,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:02:29,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:02:30,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:02:30,0.38,0.95,91.79,66.67,3,Yawning Detected,No
2024-12-05 15:02:37,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:02:38,N/A,0.0,N/A,N/A,N/A,No Fatigue,No
2024-12-05 15:02:39,0.24,0.26,98.69,70.0,3,No Fatigue,No
2024-12-05 15:02:40,0.26,0.33,92.17,73.33,3,No Fatigue,No
2024-12-05 15:02:40,0.17,0.29,95.13,66.67,3,No Fatigue,No
2024-12-05 15:02:41,0.21,0.24,94.4,50.0,3,No Fatigue,No
2024-12-05 15:02:43,0.24,0.27,95.13,46.67,3,No Fatigue,No
2024-12-05 15:02:43,0.28,0.31,94.4,40.0,3,No Fatigue,No
