Timestamp,EAR,MOR,Tilt Angle,PERCLOS,FOM,Fatigue,Audio Fatigue,Yawning Confidence,Yawning
2024-12-11 11:29:21,0.29,0.3,92.42,23.33,0,No Fatigue,No Audio,0.13,Not Yawning
2024-12-11 11:29:22,0.28,0.3,85.17,23.33,0,No Fatigue,No Audio,0.11,Not Yawning
2024-12-11 11:29:23,0.25,0.28,89.17,16.67,0,No Fatigue,No Audio,0.13,Not Yawning
2024-12-11 11:29:25,0.27,0.34,88.41,10.0,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:29:26,0.22,0.49,91.49,13.33,0,No Fatigue,No Audio,0.12,Not Yawning
2024-12-11 11:29:27,0.23,0.4,86.86,13.33,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:29:28,0.31,0.41,84.6,10.0,0,No Fatigue,No Audio,0.15,Not Yawning
2024-12-11 11:29:29,0.28,0.42,83.25,10.0,0,No Fatigue,No Audio,0.25,Not Yawning
2024-12-11 11:29:31,0.27,0.23,89.22,6.67,0,No Fatigue,No Audio,0.16,Not Yawning
2024-12-11 11:29:32,0.24,0.32,95.88,13.33,0,No Fatigue,No Audio,0.19,Not Yawning
2024-12-11 11:29:33,0.3,0.34,90.78,13.33,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:29:34,0.3,0.3,87.61,10.0,0,No Fatigue,No Audio,0.15,Not Yawning
2024-12-11 11:29:35,0.24,0.26,85.73,10.0,0,No Fatigue,No Audio,0.16,Not Yawning
2024-12-11 11:29:36,0.25,0.27,85.86,10.0,0,No Fatigue,No Audio,0.16,Not Yawning
2024-12-11 11:29:38,0.25,0.29,86.68,10.0,0,No Fatigue,No Audio,0.13,Not Yawning
2024-12-11 11:29:44,0.32,0.29,94.9,10.0,0,No Fatigue,No Audio,0.17,Not Yawning
2024-12-11 11:29:45,0.28,0.31,84.29,10.0,0,No Fatigue,No Audio,0.12,Not Yawning
2024-12-11 11:29:48,0.3,0.29,87.55,10.0,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:29:49,0.18,0.27,86.82,13.33,0,No Fatigue,No Audio,0.15,Not Yawning
2024-12-11 11:29:50,0.28,0.49,88.51,13.33,0,No Fatigue,No Audio,0.09,Not Yawning
2024-12-11 11:29:52,0.2,0.37,90.0,13.33,0,No Fatigue,No Audio,0.15,Not Yawning
2024-12-11 11:29:53,0.25,0.33,87.55,10.0,0,No Fatigue,No Audio,0.12,Not Yawning
2024-12-11 11:29:54,0.25,0.25,86.53,10.0,0,No Fatigue,No Audio,0.13,Not Yawning
2024-12-11 11:29:56,0.23,0.27,85.03,10.0,0,No Fatigue,No Audio,0.15,Not Yawning
2024-12-11 11:29:57,0.27,0.32,86.68,10.0,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:29:58,0.32,0.33,84.37,10.0,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:29:59,0.3,0.28,93.32,6.67,0,No Fatigue,No Audio,0.16,Not Yawning
2024-12-11 11:30:00,0.2,0.28,103.19,13.33,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:30:02,0.23,0.34,102.99,20.0,0,No Fatigue,No Audio,0.16,Not Yawning
2024-12-11 11:30:03,0.29,0.32,95.04,20.0,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:30:04,0.29,0.26,81.38,20.0,0,No Fatigue,No Audio,0.14,Not Yawning
2024-12-11 11:30:06,0.3,0.25,81.51,16.67,0,No Fatigue,No Audio,0.16,Not Yawning
2024-12-11 11:30:07,0.32,0.32,84.45,16.67,0,No Fatigue,No Audio,0.14,Not Yawning
